gene,threshold,margin,step_r2,n_obs,frac_low,frac_intermediate,frac_high,passes_dynamic_range,cluster,degree,n_EQ,n_OP,n_HH,n_HL,n_LH,hh_out,hh_in,mean_Control,frac_high_Control,mean_Ts65Dn,frac_high_Ts65Dn,delta,p_value,q_value
DYRK1A,-1.284295,0.138586035,0.6116498170149691,72,0.5277777777777778,0.19444444444444442,0.2777777777777778,True,C2,4,3,0,0,1,0,0,0,-1.4849768421052632,0.23684210526315788,-1.2496923529411763,0.3235294117647059,0.23528448916408684,0.021709009263963606,0.19208863459648723
ITSN1,-0.7143200000000001,0.09439714199999998,0.5718469145060527,72,0.5416666666666666,0.16666666666666663,0.2916666666666667,True,C2,2,1,0,1,0,0,1,0,-0.901219210526316,0.18421052631578946,-0.6400579411764705,0.4117647058823529,0.2611612693498455,0.0009692102165447929,0.02487639555798302
BDNF,-1.64116,0.041939047499999986,0.6122918066171352,72,0.4722222222222222,0.16666666666666663,0.3611111111111111,True,C4,2,0,0,2,0,0,2,0,-1.6571713157894734,0.3684210526315789,-1.6739988235294114,0.35294117647058826,-0.01682750773993802,0.592106301745599,0.8317414835412049
NR1,1.13249,0.03754128525000006,0.6539110517632705,72,0.2222222222222222,0.125,0.6527777777777778,True,C5,2,0,0,2,0,0,0,2,1.206226315789474,0.7105263157894737,1.1571064705882352,0.5882352941176471,-0.04911984520123869,0.2210093690314341,0.5102262591938473
NR2A,1.83414,0.051687142500000026,0.6095448321864879,72,0.3055555555555556,0.16666666666666663,0.5277777777777778,True,C6,0,0,0,0,0,0,0,0,1.9545165789473682,0.6052631578947368,1.8392776470588235,0.4411764705882353,-0.11523893188854473,0.07023479225441838,0.3004488335327897
pAKT,-2.1670049999999996,0.05706898050000002,0.6464635779448232,72,0.3472222222222222,0.13888888888888884,0.5138888888888888,True,C1,8,3,0,5,0,0,5,0,-2.146303157894737,0.5,-2.0986720588235293,0.5294117647058824,0.04763109907120766,0.6077926760077248,0.8317414835412049
pBRAF,-2.51585,0.047828676000000014,0.6846124543326169,72,0.2916666666666667,0.11111111111111116,0.5972222222222222,True,C1,6,4,0,2,0,0,2,0,-2.4806992105263155,0.631578947368421,-2.469632352941177,0.5588235294117647,0.011066857585138479,0.9685085078483763,0.9943354013909996
pCAMKII,1.77013,0.15529308374999995,0.7553984568053321,72,0.4722222222222222,0.16666666666666663,0.3611111111111111,True,C7,0,0,0,0,0,0,0,0,1.7338610526315792,0.3157894736842105,1.7167614705882355,0.4117647058823529,-0.01709958204334372,0.7909530829905921,0.9227785968223575
pCREB,-2.294675,0.047871300749999963,0.6981904375976544,72,0.3055555555555556,0.1527777777777778,0.5416666666666666,True,C8,2,0,0,2,0,0,2,0,-2.288566842105263,0.4473684210526316,-2.208498235294118,0.6470588235294118,0.08006860681114514,0.06193063821391844,0.28772229421101475
pELK,0.533935,0.06053085149999999,0.49772801290046476,72,0.5833333333333334,0.11111111111111116,0.3055555555555556,True,C9,1,0,0,1,0,0,0,1,0.4564081578947369,0.2894736842105263,0.46702411764705887,0.3235294117647059,0.01061595975232199,0.3759100726357998,0.6578426271126496
pERK,-0.9606950000000001,0.1648243485,0.688213475756781,72,0.5277777777777778,0.125,0.3472222222222222,True,C2,5,1,1,3,0,0,1,2,-1.0731547368421055,0.2894736842105263,-1.0247441176470589,0.4117647058823529,0.048410619195046634,0.6477944937406348,0.8583041839676795
pJNK,-1.8192149999999998,0.042015030749999994,0.6152654239962232,72,0.2222222222222222,0.04166666666666663,0.7361111111111112,True,C10,3,0,0,3,0,0,0,3,-1.6968355263157897,0.7631578947368421,-1.6984250000000003,0.7058823529411765,-0.001589473684210585,0.8259067105494452,0.9352178928280482
PKCA,-1.661155,0.05627208300000002,0.6793857167265078,72,0.4305555555555556,0.18055555555555558,0.3888888888888889,True,C11,2,0,0,2,0,0,0,2,-1.6705365789473685,0.3684210526315789,-1.6746576470588235,0.4117647058823529,-0.004121068111454962,0.8878728055527096,0.974227033011495
pMEK,-1.948745,0.05197254299999996,0.6644323730923043,72,0.2777777777777778,0.125,0.5972222222222222,True,C1,8,5,0,3,0,0,3,0,-1.9007031578947364,0.6052631578947368,-1.8651094117647056,0.5882352941176471,0.03559374613003086,0.592106301745599,0.8317414835412049
pNR1,-0.32457499999999995,0.030524880750000014,0.6379556158575651,72,0.2777777777777778,0.125,0.5972222222222222,True,C12,1,0,0,1,0,0,1,0,-0.2534352631578947,0.6578947368421053,-0.33263088235294114,0.5294117647058824,-0.07919561919504642,0.06352310391671755,0.28772229421101475
pNR2A,-0.570945,0.08548856925,0.6964642842014819,72,0.3194444444444444,0.13888888888888884,0.5416666666666666,True,C13,1,0,0,1,0,0,1,0,-0.42459710526315786,0.631578947368421,-0.6047320588235295,0.4411764705882353,-0.18013495356037168,0.05168477928456948,0.2795414256604861
pNR2B,0.53335,0.03757279049999998,0.6235854187708088,72,0.20833333333333334,0.11111111111111116,0.6805555555555556,True,C14,0,0,0,0,0,0,0,0,0.6477997368421051,0.7368421052631579,0.586559705882353,0.6176470588235294,-0.06124003095975217,0.2252947118518287,0.5102262591938473
pPKCAB,0.642425,0.09568885724999998,0.7581237743516274,72,0.5694444444444444,0.09722222222222221,0.3333333333333333,True,C15,1,0,0,1,0,0,1,0,0.5292999999999999,0.3684210526315789,0.5510723529411764,0.29411764705882354,0.02177235294117652,0.6805524219365017,0.8733756081518439
pRSK,-1.222615,0.037650627,0.5393148466338322,72,0.2916666666666667,0.2222222222222222,0.4861111111111111,True,C16,0,0,0,0,0,0,0,0,-1.2250099999999997,0.47368421052631576,-1.1572535294117645,0.5,0.0677564705882352,0.2210093690314341,0.5102262591938473
AKT,-0.69842,0.043499484,0.5126486443074556,72,0.19444444444444445,0.11111111111111116,0.6944444444444444,True,C17,0,0,0,0,0,0,0,0,-0.5674331578947368,0.7631578947368421,-0.5970332352941177,0.6176470588235294,-0.029600077399380864,0.24761151356061917,0.5296135151157688
BRAF,-1.281965,0.11291481599999996,0.5992414137413047,72,0.6805555555555556,0.125,0.19444444444444445,True,C2,3,1,0,2,0,0,2,0,-1.5984792105263157,0.18421052631578946,-1.4565976470588233,0.20588235294117646,0.14188156346749237,0.10797570822407274,0.4375857649080842
CAMKII,-1.5511300000000001,0.04156654425000002,0.6149708208885458,72,0.2361111111111111,0.125,0.6388888888888888,True,C1,4,1,0,3,0,0,0,3,-1.462328947368421,0.7368421052631579,-1.4900032352941177,0.5294117647058824,-0.027674287925696817,0.2430286930180392,0.5296135151157688
CREB,-2.52583,0.039312992250000026,0.6738923797995161,72,0.2916666666666667,0.125,0.5833333333333334,True,C1,4,4,0,0,0,0,0,0,-2.4973760526315787,0.5526315789473685,-2.47017794117647,0.6176470588235294,0.02719811145510853,0.44642987384554234,0.7313851124703566
ELK,0.18157,0.041876037,0.5909272261828661,71,0.4225352112676056,0.14084507042253525,0.43661971830985913,True,C18,0,0,0,0,0,0,0,0,0.20083405405405402,0.42105263157894735,0.15534647058823534,0.4411764705882353,-0.04548758346581869,0.7255417923979041,0.9010760970103002
ERK,1.215915,0.07161328650000004,0.6632825316199809,72,0.3333333333333333,0.18055555555555558,0.4861111111111111,True,C19,0,0,0,0,0,0,0,0,1.2825584210526315,0.5789473684210527,1.231182352941177,0.38235294117647056,-0.051376068111454565,0.3020283327187192,0.5721925015233379
GSK3B,0.15913,0.061713225,0.5674921767549795,72,0.3333333333333333,0.2222222222222222,0.4444444444444444,True,C20,0,0,0,0,0,0,0,0,0.1811594736842105,0.42105263157894735,0.21871764705882346,0.47058823529411764,0.03755817337461295,0.42648579645928475,0.724930571370845
JNK,-2.156225,0.03113274674999997,0.6402995559339064,72,0.2361111111111111,0.02777777777777779,0.7361111111111112,True,C1,5,2,0,3,0,0,0,3,-2.0775697368421056,0.7368421052631579,-2.053559411764706,0.7352941176470589,0.024010325077399752,0.9865007843256868,0.9955000706051953
MEK,-1.96347,0.03723735225000001,0.6641550156671389,72,0.2222222222222222,0.18055555555555558,0.5972222222222222,True,C1,4,2,0,2,0,0,0,2,-1.9065881578947377,0.5263157894736842,-1.8747135294117647,0.6764705882352942,0.031874628482972955,0.6157047345694634,0.8317414835412049
TRKA,-0.613965,0.05490253124999999,0.6968533676857125,72,0.2777777777777778,0.1527777777777778,0.5694444444444444,True,C21,1,0,0,1,0,0,0,1,-0.576157105263158,0.5263157894736842,-0.5268955882352941,0.6176470588235294,0.049261517027863855,0.2967754901622627,0.5721925015233379
RSK,-2.655135,0.04186677074999997,0.6657287387892212,72,0.2638888888888889,0.13888888888888884,0.5972222222222222,True,C1,7,5,0,2,0,0,0,2,-2.5930434210526316,0.5263157894736842,-2.5848958823529413,0.6764705882352942,0.008147538699690315,0.7822770317381578,0.9227785968223575
APP,-1.32829,0.03953723550000001,0.6041650999310417,72,0.375,0.19444444444444442,0.4305555555555556,True,C22,0,0,0,0,0,0,0,0,-1.4293365789473689,0.18421052631578946,-1.199580294117647,0.7058823529411765,0.22975628482972188,3.585517472176274e-08,2.760848453575731e-06
Bcatenin,1.0358399999999999,0.044741161500000036,0.6971461808940289,71,0.352112676056338,0.14084507042253525,0.5070422535211268,True,C23,3,0,0,3,0,0,3,0,1.071346756756757,0.4473684210526316,1.0737667647058822,0.5588235294117647,0.0024200079491252247,0.6576616474557544,0.8583041839676795
SOD1,-1.0304600000000002,0.19736556525,0.8119810636482091,72,0.4861111111111111,0.08333333333333337,0.4305555555555556,True,C24,3,0,2,0,1,0,0,0,-1.0639026315789473,0.42105263157894735,-1.0294829411764708,0.4411764705882353,0.0344196904024765,0.8967905967335313,0.974227033011495
MTOR,-1.197895,0.05076422399999999,0.5983557817810506,72,0.3194444444444444,0.19444444444444442,0.4861111111111111,True,C25,1,0,0,1,0,0,1,0,-1.1112126315789475,0.5526315789473685,-1.2141541176470585,0.4117647058823529,-0.10294148606811104,0.02744123351378389,0.19208863459648723
