gene_a,gene_b,relation,statement,kind,source,target,canonical,S,error_rate,binom_p,n,n_lowlow,n_lowhigh,n_highlow,n_highhigh,pearson_r
NR1,pNR1,low=>low,NR1 low => pNR1 low,HH,pNR1,NR1,pNR1 high => NR1 high,3.244428422615251,0.0,8.829539957661445e-06,57,15,0,2,40,0.9252734184265137
pJNK,pMEK,low=>low,pJNK low => pMEK low,HH,pMEK,pJNK,pMEK high => pJNK high,3.24037034920393,0.0,9.710395368309823e-06,60,15,0,3,42,0.8826882839202881
NR1,Bcatenin,low=>low,NR1 low => Bcatenin low,HH,Bcatenin,NR1,Bcatenin high => NR1 high,3.236159339823562,0.0,9.00507506719757e-06,55,16,0,3,36,0.8962329030036926
TRKA,Bcatenin,low=>low,TRKA low => Bcatenin low,HH,Bcatenin,TRKA,Bcatenin high => TRKA high,3.222516933177448,0.0,9.311713313616556e-06,52,18,0,4,30,0.8178609609603882
ARC,IL1B,low=>low,ARC low => IL1B low,HH,IL1B,ARC,IL1B high => ARC high,3.216471576888981,0.039230769230769236,1.4841680892435794e-05,53,24,1,3,25,0.7600976824760437
RAPTOR,TIAM1,low=>low,RAPTOR low => TIAM1 low,HH,TIAM1,RAPTOR,TIAM1 high => RAPTOR high,3.183491068719274,0.0,1.2714244888976512e-05,52,31,0,4,17,0.8774035573005676
PKCA,pPKCAB,low=>low,PKCA low => pPKCAB low,HH,pPKCAB,PKCA,pPKCAB high => PKCA high,3.1754264805429417,0.0393939393939394,2.159255349049948e-05,55,29,1,4,21,0.8431257605552673
pERK,BRAF,low=>low,pERK low => BRAF low,HH,BRAF,pERK,BRAF high => pERK high,3.0822070014844885,0.0,3.0118674119362727e-05,56,38,0,4,14,0.9224347472190857
ARC,ERBB4,low=>low,ARC low => ERBB4 low,HH,ERBB4,ARC,ERBB4 high => ARC high,3.058443106940361,0.04257246376811594,4.3113040372263006e-05,49,22,1,3,23,0.7711941599845886
pELK,BRAF,low=>low,pELK low => BRAF low,HH,BRAF,pELK,BRAF high => pELK high,3.0550504633038935,0.0,3.744344877662516e-05,57,38,0,5,14,0.8501285910606384
MEK,Bcatenin,low=>low,MEK low => Bcatenin low,HH,Bcatenin,MEK,Bcatenin high => MEK high,3.0550504633038935,0.0,3.3353982127865367e-05,51,14,0,3,34,0.7501819729804993
P38,CaNA,low=>high,P38 low => CaNA high,LH,P38,CaNA,P38 low => CaNA high,3.2080627591533593,0.0,9.319933330392718e-06,48,0,19,26,3,-0.795836329460144
DYRK1A,SOD1,high=>low,DYRK1A high => SOD1 low,HL,DYRK1A,SOD1,DYRK1A high => SOD1 low,3.1919710595935893,0.0,1.2189505964887627e-05,53,6,27,20,0,-0.6500226855278015
pBRAF,CAMKII,high=>high,pBRAF high => CAMKII high,HH,pBRAF,CAMKII,pBRAF high => CAMKII high,3.3065591380365986,0.0,5.729520714207262e-06,60,16,3,0,41,0.7871874570846558
